roi_name,roi_value
rh_fusiform_part3,2015
rh_fusiform_part4,2016
rh_fusiform_part5,2017
rh_inferiorparietal_part1,2018
rh_inferiorparietal_part2,2019
rh_inferiorparietal_part3,2020
rh_inferiorparietal_part4,2021
rh_inferiorparietal_part5,2022
rh_inferiorparietal_part6,2023
rh_inferiorparietal_part7,2024
rh_inferiorparietal_part8,2025
rh_inferiorparietal_part9,2026
rh_inferiorparietal_part10,2027
rh_inferiortemporal_part1,2028
rh_inferiortemporal_part2,2029
rh_inferiortemporal_part3,2030
rh_inferiortemporal_part4,2031
rh_inferiortemporal_part5,2032
rh_isthmuscingulate_part1,2033
rh_isthmuscingulate_part2,2034
rh_lateraloccipital_part1,2035
rh_lateraloccipital_part2,2036
rh_lateraloccipital_part3,2037
rh_lateraloccipital_part4,2038
rh_lateraloccipital_part5,2039
rh_lateraloccipital_part6,2040
rh_lateraloccipital_part7,2041
rh_lateraloccipital_part8,2042
rh_lateraloccipital_part9,2043
rh_lateralorbitofrontal_part1,2044
rh_lateralorbitofrontal_part2,2045
rh_lateralorbitofrontal_part3,2046
rh_lateralorbitofrontal_part4,2047
rh_lingual_part1,2048
rh_lingual_part2,2049
rh_lingual_part3,2050
rh_lingual_part4,2051
rh_lingual_part5,2052
rh_lingual_part6,2053
rh_medialorbitofrontal_part1,2054
rh_medialorbitofrontal_part2,2055
rh_medialorbitofrontal_part3,2056
rh_middletemporal_part1,2057
rh_middletemporal_part2,2058
rh_middletemporal_part3,2059
rh_middletemporal_part4,2060
rh_middletemporal_part5,2061
rh_middletemporal_part6,2062
rh_parahippocampal_part1,2063
rh_parahippocampal_part2,2064
rh_paracentral_part1,2065
rh_paracentral_part2,2066
rh_paracentral_part3,2067
rh_parsopercularis_part1,2068
rh_parsopercularis_part2,2069
rh_parsopercularis_part3,2070
rh_parsorbitalis_part1,2071
rh_parstriangularis_part1,2072
rh_parstriangularis_part2,2073
rh_parstriangularis_part3,2074
rh_pericalcarine_part1,2075
rh_pericalcarine_part2,2076
rh_pericalcarine_part3,2077
rh_postcentral_part1,2078
rh_postcentral_part2,2079
rh_postcentral_part3,2080
rh_postcentral_part4,2081
rh_postcentral_part5,2082
rh_postcentral_part6,2083
rh_postcentral_part7,2084
rh_postcentral_part8,2085
rh_posteriorcingulate_part1,2086
rh_posteriorcingulate_part2,2087
rh_precentral_part1,2088
rh_precentral_part2,2089
rh_precentral_part3,2090
rh_precentral_part4,2091
rh_precentral_part5,2092
rh_precentral_part6,2093
rh_precentral_part7,2094
rh_precentral_part8,2095
rh_precentral_part9,2096
rh_precuneus_part1,2097
rh_precuneus_part2,2098
rh_precuneus_part3,2099
rh_precuneus_part4,2100
rh_precuneus_part5,2101
rh_precuneus_part6,2102
rh_precuneus_part7,2103
rh_rostralanteriorcingulate_part1,2104
rh_rostralmiddlefrontal_part1,2105
rh_rostralmiddlefrontal_part2,2106
rh_rostralmiddlefrontal_part3,2107
rh_rostralmiddlefrontal_part4,2108
rh_rostralmiddlefrontal_part5,2109
rh_rostralmiddlefrontal_part6,2110
rh_rostralmiddlefrontal_part7,2111
rh_rostralmiddlefrontal_part8,2112
rh_rostralmiddlefrontal_part9,2113
rh_rostralmiddlefrontal_part10,2114
rh_superiorfrontal_part1,2115
rh_superiorfrontal_part2,2116
rh_superiorfrontal_part3,2117
rh_superiorfrontal_part4,2118
rh_superiorfrontal_part5,2119
rh_superiorfrontal_part6,2120
rh_superiorfrontal_part7,2121
rh_superiorfrontal_part8,2122
rh_superiorfrontal_part9,2123
rh_superiorfrontal_part10,2124
rh_superiorfrontal_part11,2125
rh_superiorfrontal_part12,2126
rh_superiorfrontal_part13,2127
rh_superiorparietal_part1,2128
rh_superiorparietal_part2,2129
rh_superiorparietal_part3,2130
rh_superiorparietal_part4,2131
rh_superiorparietal_part5,2132
rh_superiorparietal_part6,2133
rh_superiorparietal_part7,2134
rh_superiorparietal_part8,2135
rh_superiorparietal_part9,2136
rh_superiorparietal_part10,2137
rh_superiortemporal_part1,2138
rh_superiortemporal_part2,2139
rh_superiortemporal_part3,2140
rh_superiortemporal_part4,2141
rh_superiortemporal_part5,2142
rh_superiortemporal_part6,2143
rh_supramarginal_part1,2144
rh_supramarginal_part2,2145
rh_supramarginal_part3,2146
rh_supramarginal_part4,2147
rh_supramarginal_part5,2148
rh_supramarginal_part6,2149
rh_supramarginal_part7,2150
rh_frontalpole_part1,2151
rh_temporalpole_part1,2152
rh_transversetemporal_part1,2153
rh_insula_part1,2154
rh_insula_part2,2155
rh_insula_part3,2156
rh_insula_part4,2157
